-DOCSTART- -X- -X- O
PayPal -X- _ O
Working -X- _ O
Capital -X- _ O
tile -X- _ O
on -X- _ O
the -X- _ O
left -X- _ O
of -X- _ O
the -X- _ O
page, -X- _ O
or -X- _ O
by -X- _ O
visiting -X- _ O
your -X- _ O
PayPal -X- _ O
Working -X- _ O
Capital -X- _ O
page -X- _ O
and -X- _ O
clicking -X- _ O
Log -X- _ O
In -X- _ O
at -X- _ O
the -X- _ O
top -X- _ O
of -X- _ O
the -X- _ O
page. -X- _ O

PayPal -X- _ B-PP_Product
Working -X- _ I-PP_Product
Capital -X- _ I-PP_Product
is -X- _ O
a -X- _ O
business -X- _ O
loan -X- _ O
of -X- _ O
a -X- _ O
fixed -X- _ O
amount, -X- _ O
with -X- _ O
a -X- _ O
single -X- _ O
fixed -X- _ O
fee. -X- _ O

To -X- _ O
be -X- _ O
eligible -X- _ O
to -X- _ O
apply -X- _ O
for -X- _ O
PayPal -X- _ B-PP_Product
Working -X- _ I-PP_Product
Capital, -X- _ I-PP_Product
you -X- _ O
must -X- _ O
Have -X- _ O
a -X- _ O
PayPal -X- _ O
Premier -X- _ O
or -X- _ O
Business -X- _ O
account -X- _ O
for -X- _ O
3 -X- _ O
months -X- _ O
or -X- _ O
more. -X- _ O


For -X- _ O
transactions -X- _ O
not -X- _ O
in -X- _ O
USD, -X- _ O
PayPal -X- _ B-ORG
will -X- _ O
automatically -X- _ O
convert -X- _ O
the -X- _ O
transaction -X- _ O
amount -X- _ O
to -X- _ O
USD -X- _ O
at -X- _ O
checkout -X- _ O
before -X- _ O
providing -X- _ O
you -X- _ O
with -X- _ O
your -X- _ O
Pay -X- _ B-PP_Product
in -X- _ I-PP_Product
4 -X- _ I-PP_Product
plan. -X- _ O

There -X- _ O
are -X- _ O
no -X- _ O
fees -X- _ O
for -X- _ O
choosing -X- _ O
to -X- _ O
pay -X- _ O
with -X- _ O
Pay -X- _ B-PP_Product
in -X- _ I-PP_Product
4, -X- _ I-PP_Product
however -X- _ O
if -X- _ O
you -X- _ O
are -X- _ O
late -X- _ O
with -X- _ O
a -X- _ O
payment -X- _ O
you -X- _ O
may -X- _ O
be -X- _ O
charged -X- _ O
a -X- _ O
late -X- _ O
fee. -X- _ O

You -X- _ O
can -X- _ O
use -X- _ O
Pay -X- _ B-PP_Product
in -X- _ I-PP_Product
4 -X- _ I-PP_Product
for -X- _ O
eligible -X- _ O
shopping -X- _ O
cart -X- _ O
values -X- _ O
between -X- _ O
$30 -X- _ O
to -X- _ O
$600. -X- _ O

We -X- _ O
are -X- _ O
offering -X- _ O
Pay -X- _ B-PP_Product
in -X- _ I-PP_Product
4 -X- _ I-PP_Product
to -X- _ O
a -X- _ O
growing -X- _ O
number -X- _ O
of -X- _ O
our -X- _ O
US -X- _ O
customers. -X- _ O
